Nombre,Sitio,País,Precio actual,Mínimo 15 días,Promedio 15 días,Notas,Dependencia idioma,Ranking BGG
https://www.boardgamegeek.com/boardgame/173346++7 Wonders Duel,https://www.planetongames.com/es/7-wonders-duel-p-5596.html++Planeton (precio aproximado),es,$130408,$126715,$128356,,Sin texto,21
https://www.boardgamegeek.com/boardgame/309116++7 Wonders Duel: Agora,https://www.planetongames.com/es/7-wonders-duel-agora-p-9219.html++Planeton (precio aproximado),es,$131806,$128070,$129729,,Sin texto,Sin datos
https://www.boardgamegeek.com/boardgame/103343++A Game of Thrones: The Board Game (Second Edition),https://www.planetongames.com/es/juego-p-3076.html++Planeton (precio aproximado),es,$241524,$234429,$237515,,Poco texto,227
https://www.boardgamegeek.com/boardgame/103343++A Game of Thrones: The Board Game (Second Edition),https://www.planetongames.com/es/a-game-of-thrones-2nd-edition-p-3033.html++Planeton (precio aproximado),es,$228859,$222152,$225073,,Poco texto,227
https://www.boardgamegeek.com/boardgame/202408++Adrenaline,https://www.planetongames.com/es/adrenalina-p-6511.html++Planeton (precio aproximado),es,$191360,$185801,$188234,,Sin texto,1081
https://www.boardgamegeek.com/boardgame/200680++Agricola (Revised Edition),https://www.planetongames.com/es/agricola-juego-de-mesa-p-732.html++Planeton (precio aproximado),es,$218939,$212535,$215328,,Alta dependencia,81
https://www.boardgamegeek.com/boardgame/119890++Agricola: All Creatures Big and Small,https://www.planetongames.com/es/agricola-2-jugadores-p-3243.html++Planeton (precio aproximado),es,$165641,$160870,$162969,,Poco texto,429
https://www.boardgamegeek.com/boardgame/257344++Agricola: Farmers of the Moor,https://www.planetongames.com/es/agricola-bosques-y-cenagales-p-2122.html++Planeton (precio aproximado),es,$249734,$242388,$245580,,No hay datos,Sin datos
https://www.boardgamegeek.com/boardgame/154458++Akrotiri,https://www.planetongames.com/es/akrotiri-p-5568.html++Planeton (precio aproximado),es,$131513,$127785,$129441,,Sin texto,1018
https://www.boardgamegeek.com/boardgame/185343++Anachrony,https://www.planetongames.com/es/anachrony-p-7802.html++Planeton (precio aproximado),es,$234044,$227178,$230166,,Sin texto,57
https://www.boardgamegeek.com/boardgame/218791++Anachrony: Exosuit Commander Pack,https://www.planetongames.com/es/anachrony-exotrajes-expansion-p-7803.html++Planeton (precio aproximado),es,$187233,$181800,$184180,,No hay datos,Sin datos
https://www.boardgamegeek.com/boardgame/39339++Android,https://www.planetongames.com/es/android-p-1382.html++Planeton (precio aproximado),es,$235635,$228720,$231730,,Alta dependencia,1853
https://www.boardgamegeek.com/boardgame/124742++Android: Netrunner,https://www.planetongames.com/es/android-netrunner-lcg-english-p-3437.html++Planeton (precio aproximado),es,$146022,$141850,$143694,,Alta dependencia,79
https://www.boardgamegeek.com/boardgame/213269++Android: Netrunner – Terminal Directive,https://www.planetongames.com/es/terminal-directive-android-netrunner-english-p-6745.html++Planeton (precio aproximado),es,$190389,$184860,$187280,,Injugable en otro idioma,Sin datos
https://www.boardgamegeek.com/boardgame/285967++Ankh: Gods of Egypt,https://www.planetongames.com/es/ankh-dioses-de-egipto-p-9726.html++Planeton (precio aproximado),es,$333759,$323840,$328126,,Cantidad de texto moderada,239
https://www.boardgamegeek.com/boardgame/311193++Anno 1800: The Board Game,https://www.planetongames.com/es/anno-1800-p-9792.html++Planeton (precio aproximado),es,$164648,$159906,$161993,,Sin texto,290
https://www.boardgamegeek.com/boardgame/342942++Ark Nova,https://www.planetongames.com/es/ark-nova-p-9955.html++Planeton (precio aproximado),es,$237475,$230504,$233537,,Alta dependencia,3
https://www.boardgamegeek.com/boardgame/337070++Arkham Noir: Case #3 – Infinite Gulfs of Darkness,https://www.planetongames.com/es/arkham-noir-3-abismos-infinitos-de-oscuridad-p-9673.html++Planeton (precio aproximado),es,$106669,$103702,$105034,,No hay datos,7043
